web-scraper-order,web-scraper-start-url,single,single-href,name,price ,rating ,numbers of review 
"1675235020-33","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDkyMDE2NTM0NjY2NToxNjc1MjM1MDExOnNwX2J0ZjoyMDAyNTczODcyMDM5ODo6MDo6&url=%2FLunars-Bingo-Laptop-Resistant-48L%2Fdp%2FB08YZ5XY31%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675235011%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty","899","3.9 out of 5","8,750 ratings"
"1675235027-34","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Amazon Basics - Laptop Backpack/Travel Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Stylish Design","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDkyMDE2NTM0NjY2NToxNjc1MjM1MDExOnNwX2J0ZjoyMDEwOTE4OTM4Nzg5ODo6MDo6&url=%2FAmazon-Basics-Stylish-Backpack-Laptop%2Fdp%2FB09W4WRV5Q%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675235011%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","Amazon Basics - Laptop Backpack/Travel Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Stylish Design","2,419","null","null"
"1675235032-35","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue","https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675235011&sprefix=ba%2Caps%2C283&sr=8-20","Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue","498","4.3 out of 5","12,099 ratings"
"1675235039-36","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","ADISA Laptop Backpack 31 Ltrs","https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675235011&sprefix=ba%2Caps%2C283&sr=8-19","ADISA Laptop Backpack 31 Ltrs","499","4 out of 5","8,988 ratings"
"1675235045-37","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty","https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675235011&sprefix=ba%2Caps%2C283&sr=8-18","Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty","512","4.1 out of 5","4,855 ratings"
"1675235051-38","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey","https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17227/dp/B075Y6SRMG/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675235011&sprefix=ba%2Caps%2C283&sr=8-17","Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey","923","4.2 out of 5","53,009 ratings"
"1675235057-39","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","DEIN KLEIDER Men's Nylon Messenger Bag","https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675235011&sprefix=ba%2Caps%2C283&sr=8-16","DEIN KLEIDER Men's Nylon Messenger Bag","349","4 out of 5","4,394 ratings"
"1675235062-40","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)","https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675235011&sprefix=ba%2Caps%2C283&sr=8-15","Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)","599","3.8 out of 5","625 ratings"
"1675235068-41","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","ADISA Light Weight Laptop Backpack 32 Ltrs","https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675235011&sprefix=ba%2Caps%2C283&sr=8-14","ADISA Light Weight Laptop Backpack 32 Ltrs","499","4 out of 5","5,544 ratings"
"1675235073-42","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs","https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675235011&sprefix=ba%2Caps%2C283&sr=8-13","AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs","999","3.9 out of 5","709 ratings"
