web-scraper-order,web-scraper-start-url,single,single-href,description ,ASIN,product description -src,manufacturer
"1675236206-55","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","<ul class=""a-unordered-list a-vertical a-spacing-mini"">   <li><span class=""a-list-item""> ?Waterproof material: Bange laptop backpack made of high-density coated oxford fabric not only waterproof and resistant but also scratch-resistant;Special Features: Laptop Compartment; Style Name: Modern; Age Range Description: Adult; Lining Description: Polyester; Material Type: Polyester   </span></li>  <li><span class=""a-list-item""> ?90° opening pocket:the backpack have 6 pocket,the main pocket can contain 4-5 T-shirt?the laptop pocket can 90°opening can hold 15.6 inch laptop and the pocket division reasonable can meet your daily needs,double side pocket the one of is exclusive power bank?the other one you can place kettle, umbrella and so on,Two front pocket can meet your daily needs,You can place anything you have to have any small items, such as wallet, pen, convenient sign, etc   </span></li>  <li><span class=""a-list-item""> ?About size: 31cm x 48cm x 14;weight :1.2 KG Simple and smooth, accommodating 15.6inch, can be used as business, daily, outdoor, travel, overnight backpack; ?Human design: laptop backpack adopt in durable YKK zipper,Multi-function shoulder straps with card pocket you can easily take your credit card, and have glasses hang bucks, so that you are free to find glasses, add your shoulder strap to make your outdoors   </span></li>  <li><span class=""a-list-item""> ?Quality Assurance:Our products have passed double QA quality inspection, please rest assured to buy, if you have any questions, please feel free to contact us, we will solve your problems within 24 hours   </span></li>  <li><span class=""a-list-item""> Pattern Name: Solid   </span></li>  </ul> <!-- Loading EDP related metadata -->","BG-2157","","B09ZYPHJKH"
"1675236206-56","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","","BG-2157","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","B09ZYPHJKH"
"1675236206-57","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","","BG-2157","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","B09ZYPHJKH"
"1675236206-58","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","","BG-2157","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","B09ZYPHJKH"
"1675236206-59","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","","BG-2157","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","B09ZYPHJKH"
"1675236206-60","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","","BG-2157","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","B09ZYPHJKH"
"1675236206-61","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","","BG-2157","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","B09ZYPHJKH"
"1675236206-62","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","","BG-2157","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","B09ZYPHJKH"
"1675236206-63","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Red Lemon BANGE Captain Business Smart Backpack Waterproof fit 15.6 Inch Laptop Backpack with USB Charging Port,Travel Durable Backpack for Men and Women","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDUyNjI0MjEyNDk4OjowOjo&url=%2FRed-Lemon-Business-Backpack-Waterproof%2Fdp%2FB09ZYPHJKH%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","","BG-2157","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","B09ZYPHJKH"
"1675236212-64","https://www.amazon.in/s?k=bags&page=[1- 5]&crid=2M096C61O4MLT&qid=1675232753&sprefix=ba%2Caps%2C283&ref=sr_pg_2","Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDQ1NDc4NDU0ODUzMzg2OjE2NzUyMzYxOTE6c3BfYnRmOjIwMDI1NzM4NzIwMzk4OjowOjo&url=%2FLunars-Bingo-Laptop-Resistant-48L%2Fdp%2FB08YZ5XY31%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675236191%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","<ul class=""a-unordered-list a-vertical a-spacing-mini"">   <li><span class=""a-list-item""> ?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable unisex travel laptop backpack that is your perfect travel partner. Size: 20 inch X 13.5 inch X 9.5 inch. Capacity : 48 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects   </span></li>  <li><span class=""a-list-item""> ?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls   </span></li>  <li><span class=""a-list-item""> ?PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop sleeve with holder to secure upto 15.6"" Laptops. Compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft   </span></li>  <li><span class=""a-list-item""> ?1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; ?BEST BACK SUPPORT - We have designed the bag keeping your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: Mblue; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult   </span></li>  <li><span class=""a-list-item""> Style Name: Casual Backpack; Compartment Description: Up To 15 Inches   </span></li>  </ul> <!-- Loading EDP related metadata -->","Bingo 48L Laptop Bag","","B08YZ5XY31"
